ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-09-10,1617.1049736556877,1530.2931890988361,1820.5490414859494,1617.1042485277937,1617.105783899317,54.22415088614842,54.22415088614842,54.22415088614842,54.22415088614842,54.22415088614842,54.22415088614842,0.0,0.0,0.0,1671.329124541836
2023-09-17,1619.7346627705783,1512.9151324789411,1823.5601757813847,1619.7339296409727,1619.7354891979269,54.22415088588265,54.22415088588265,54.22415088588265,54.22415088588265,54.22415088588265,54.22415088588265,0.0,0.0,0.0,1673.958813656461
2023-09-24,1622.3643518854694,1533.611690016795,1823.2332916466842,1622.3636100121848,1622.3651871828492,54.2241508856169,54.2241508856169,54.2241508856169,54.2241508856169,54.2241508856169,54.2241508856169,0.0,0.0,0.0,1676.5885027710863
2023-10-01,1624.9940410003603,1529.1271398358456,1823.498062527354,1624.9932868116048,1624.9948862239987,54.224150886039624,54.224150886039624,54.224150886039624,54.224150886039624,54.224150886039624,54.224150886039624,0.0,0.0,0.0,1679.2181918863998
2023-10-08,1627.6237301152512,1526.8159814455935,1827.576129614348,1627.622959664146,1627.6245899940227,54.22415088637434,54.22415088637434,54.22415088637434,54.22415088637434,54.22415088637434,54.22415088637434,0.0,0.0,0.0,1681.8478810016256
2023-10-15,1630.253419230142,1547.7944940502125,1835.0857813566192,1630.2526344162457,1630.2542951337482,54.22415088610858,54.22415088610858,54.22415088610858,54.22415088610858,54.22415088610858,54.22415088610858,0.0,0.0,0.0,1684.4775701162507
2023-10-22,1632.8831083450327,1545.0584521090607,1829.4580402831962,1632.882307862605,1632.8839980287096,54.22415088584281,54.22415088584281,54.22415088584281,54.22415088584281,54.22415088584281,54.22415088584281,0.0,0.0,0.0,1687.1072592308756
2023-10-29,1635.5127974599238,1535.4966686154764,1840.68448697337,1635.5119820030804,1635.513707269324,54.22415088626556,54.22415088626556,54.22415088626556,54.22415088626556,54.22415088626556,54.22415088626556,0.0,0.0,0.0,1689.7369483461894
2023-11-05,1638.1424865748145,1548.9484139456545,1837.2932867447007,1638.1416625489048,1638.1434102079722,54.22415088591176,54.22415088591176,54.22415088591176,54.22415088591176,54.22415088591176,54.22415088591176,0.0,0.0,0.0,1692.3666374607262
2023-11-12,1640.7721756897056,1539.8076015442693,1842.456193114115,1640.7713410714637,1640.7731071700243,54.22415088633451,54.22415088633451,54.22415088633451,54.22415088633451,54.22415088633451,54.22415088633451,0.0,0.0,0.0,1694.99632657604
2023-11-19,1643.4018648045967,1547.703889656275,1848.2134476379144,1643.4010201686008,1643.402808435349,54.224150886757265,54.224150886757265,54.224150886757265,54.224150886757265,54.224150886757265,54.224150886757265,0.0,0.0,0.0,1697.626015691354
2023-11-26,1646.0315539194874,1546.8444913779408,1850.0484695927023,1646.0307006963092,1646.0325113242584,54.224150885802985,54.224150885802985,54.224150885802985,54.224150885802985,54.224150885802985,54.224150885802985,0.0,0.0,0.0,1700.2557048052904
2023-12-03,1648.6612430343785,1554.3857010805218,1845.2622799319963,1648.6603803888117,1648.6622038541414,54.224150886225736,54.224150886225736,54.224150886225736,54.224150886225736,54.224150886225736,54.224150886225736,0.0,0.0,0.0,1702.8853939206042
2023-12-10,1651.290932149269,1555.3844846950244,1861.7019695319066,1651.2900553879456,1651.2919041812627,54.22415088595997,54.22415088595997,54.22415088595997,54.22415088595997,54.22415088595997,54.22415088595997,0.0,0.0,0.0,1705.515083035229
2023-12-17,1653.92062126416,1557.796571754124,1852.3186251461862,1653.9197293441018,1653.9216027443067,54.224150886983196,54.224150886983196,54.224150886983196,54.224150886983196,54.224150886983196,54.224150886983196,0.0,0.0,0.0,1708.1447721511431
2023-12-24,1656.5503103790509,1561.0543517902988,1863.4691161185285,1656.549403415911,1656.5513145977898,54.22415088602893,54.22415088602893,54.22415088602893,54.22415088602893,54.22415088602893,54.22415088602893,0.0,0.0,0.0,1710.7744612650797
2023-12-31,1659.1799994939418,1566.6957448325488,1871.6127011509468,1659.1790772081258,1659.1810203233572,54.22415088645167,54.22415088645167,54.22415088645167,54.22415088645167,54.22415088645167,54.22415088645167,0.0,0.0,0.0,1713.4041503803935
2024-01-07,1661.8096886088329,1570.4003875429232,1864.351205271754,1661.808751192447,1661.8107219198425,54.22415088618591,54.22415088618591,54.22415088618591,54.22415088618591,54.22415088618591,54.22415088618591,0.0,0.0,0.0,1716.0338394950188
2024-01-14,1664.4393777237235,1569.7039434328606,1865.916219700335,1664.4384260579177,1664.4404257326623,54.22415088592015,54.22415088592015,54.22415088592015,54.22415088592015,54.22415088592015,54.22415088592015,0.0,0.0,0.0,1718.6635286096437
2024-01-21,1667.0690668386142,1579.1338837286096,1872.247071830456,1667.0681001070257,1667.0701292713813,54.224150885654396,54.224150885654396,54.224150885654396,54.224150885654396,54.224150885654396,54.224150885654396,0.0,0.0,0.0,1721.2932177242685
2024-01-28,1669.6987559535053,1582.7231594375635,1876.1856151486907,1669.6977738593964,1669.6998325072364,54.22415088607715,54.22415088607715,54.22415088607715,54.22415088607715,54.22415088607715,54.22415088607715,0.0,0.0,0.0,1723.9229068395823
2024-02-04,1672.3284450683964,1580.8853703181042,1885.6683482009694,1672.3274498719625,1672.3295306493376,54.22415088572333,54.22415088572333,54.22415088572333,54.22415088572333,54.22415088572333,54.22415088572333,0.0,0.0,0.0,1726.5525959541196
2024-02-11,1674.958134183287,1581.7129653347215,1884.4685366105414,1674.9571327845151,1674.9592372595139,54.224150886146084,54.224150886146084,54.224150886146084,54.224150886146084,54.224150886146084,54.224150886146084,0.0,0.0,0.0,1729.1822850694332
2024-02-18,1677.5878232981781,1587.1539131360803,1890.088666353598,1677.586814741695,1677.5889446049193,54.22415088588031,54.22415088588031,54.22415088588031,54.22415088588031,54.22415088588031,54.22415088588031,0.0,0.0,0.0,1731.8119741840585
2024-02-25,1680.2175124130688,1583.3715304237662,1871.4221114248803,1680.2164872773499,1680.2186476526094,54.22415088690353,54.22415088690353,54.22415088690353,54.22415088690353,54.22415088690353,54.22415088690353,0.0,0.0,0.0,1734.4416632999723
2024-03-03,1682.8472015279597,1589.5798249756733,1879.6589494547788,1682.8461596817958,1682.848353314833,54.224150885949264,54.224150885949264,54.224150885949264,54.224150885949264,54.224150885949264,54.224150885949264,0.0,0.0,0.0,1737.071352413909
2024-03-10,1685.4768906428505,1590.4709530773437,1896.148184222349,1685.4758359831776,1685.4780591813767,54.224150886372016,54.224150886372016,54.224150886372016,54.224150886372016,54.224150886372016,54.224150886372016,0.0,0.0,0.0,1739.7010415292225
2024-03-17,1688.1065797577414,1596.2322124929344,1889.7551861787813,1688.105509961798,1688.1077676477805,54.22415088679475,54.22415088679475,54.22415088679475,54.22415088679475,54.22415088679475,54.22415088679475,0.0,0.0,0.0,1742.3307306445363
